image_name,bbox_index,total_bboxes,center_x,center_y,width,height,angle_deg,long_side,short_side,contour_area,bbox_area,perimeter,fill_ratio,positive_pixels,area_ratio,side_ratio,area_cutoff,side_cutoff,is_outlier,scenario,median_contour_area,median_long_side,cfg_seg_close_kernel_dims,cfg_seg_min_contour_area,cfg_seg_median_area_threshold,cfg_seg_outlier_area_ratio,cfg_seg_outlier_side_ratio
IMG_3344.jpg,1,6,377.5,1493.0,1874.0,305.0,-90.0,1874.0,305.0,235515,571570,4358.0,0.412,236948,2.336,1.038,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3344.jpg,2,6,2740.1,1390.0,133.2,1449.9,-3.68,1449.9,133.2,146495,193068,3166.1,0.7588,147983,1.453,0.803,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3344.jpg,3,6,3203.2,1363.1,476.2,1080.0,-16.86,1080.0,476.2,104867,514367,3112.6,0.2039,57998,1.04,0.598,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3344.jpg,4,6,2142.3,1267.0,102.9,2170.2,-4.24,2170.2,102.9,96768,223243,4546.2,0.4335,98960,0.96,1.203,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3344.jpg,5,6,1541.4,1275.2,100.3,1735.2,-1.55,1735.2,100.3,87588,174083,3671.1,0.5031,89343,0.869,0.962,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3344.jpg,6,6,931.4,1398.8,1937.1,230.7,-87.96,1937.1,230.7,73361,446916,4335.6,0.1641,75470,0.728,1.073,201635.0,2887.4,False,none,100817.5,1804.6,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,1,6,944.9,2583.9,329.2,1847.5,-30.76,1847.5,329.2,309019,608104,4353.3,0.5082,310527,2.883,1.033,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,2,6,1414.3,2107.6,270.1,2067.7,-34.48,2067.7,270.1,126093,558456,4675.6,0.2258,128168,1.176,1.156,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,3,6,2871.2,1381.2,124.8,1335.8,-35.91,1335.8,124.8,126077,166729,2921.3,0.7562,127243,1.176,0.747,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,4,6,2336.5,1556.4,105.4,2016.3,-33.14,2016.3,105.4,88276,212509,4243.5,0.4154,90072,0.824,1.128,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,5,6,3221.9,1153.8,417.0,980.4,-48.45,980.4,417.0,87483,408877,2794.9,0.214,50700,0.816,0.548,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3345.jpg,6,6,1874.9,1879.8,99.8,1729.1,-32.42,1729.1,99.8,85781,172602,3657.8,0.497,87376,0.8,0.967,214353.0,2861.3,False,none,107176.5,1788.3,"(16, 16)",500,0.2,2,1.6
IMG_3346.jpg,1,5,3003.1,2041.3,1085.6,506.5,-87.44,1085.6,506.5,170289,549860,3184.2,0.3097,61721,1.93,0.741,176472.0,2345.2,False,none,88236.0,1465.7,"(16, 16)",500,0.2,2,1.6
IMG_3346.jpg,2,5,2541.0,1911.3,1440.5,145.3,-72.65,1440.5,145.3,151990,209254,3171.6,0.7263,153408,1.723,0.983,176472.0,2345.2,False,none,88236.0,1465.7,"(16, 16)",500,0.2,2,1.6
IMG_3346.jpg,3,5,2009.4,1613.6,2083.5,116.6,-68.86,2083.5,116.6,88236,242889,4400.2,0.3633,90290,1.0,1.422,176472.0,2345.2,False,none,88236.0,1465.7,"(16, 16)",500,0.2,2,1.6
IMG_3346.jpg,4,5,1523.9,1551.2,1465.7,84.1,-69.21,1465.7,84.1,77316,123271,3099.6,0.6272,78730,0.876,1.0,176472.0,2345.2,False,none,88236.0,1465.7,"(16, 16)",500,0.2,2,1.6
IMG_3346.jpg,5,5,888.4,1384.5,1735.5,54.7,-68.44,1735.5,54.7,68494,94938,3580.4,0.7215,70147,0.776,1.184,176472.0,2345.2,False,none,88236.0,1465.7,"(16, 16)",500,0.2,2,1.6
IMG_3347.jpg,1,5,550.7,1294.1,1734.5,271.2,-76.83,1734.5,271.2,244444,470363,4011.3,0.5197,244932,1.562,1.0,312982.0,2775.2,False,none,156491.0,1734.5,"(16, 16)",500,0.2,2,1.6
IMG_3347.jpg,2,5,1932.7,1237.7,2170.1,819.0,-52.26,2170.1,819.0,180766,1777404,5978.3,0.1017,188635,1.155,1.251,312982.0,2775.2,False,none,156491.0,1734.5,"(16, 16)",500,0.2,2,1.6
IMG_3347.jpg,3,5,2840.4,1680.3,1459.9,146.8,-80.87,1459.9,146.8,156491,214354,3213.4,0.7301,157978,1.0,0.842,312982.0,2775.2,False,none,156491.0,1734.5,"(16, 16)",500,0.2,2,1.6
IMG_3347.jpg,4,5,1089.1,1365.1,1755.5,54.5,-76.76,1755.5,54.5,71852,95696,3620.1,0.7508,73583,0.459,1.012,312982.0,2775.2,False,none,156491.0,1734.5,"(16, 16)",500,0.2,2,1.6
IMG_3347.jpg,5,5,3316.1,1730.7,515.5,1066.8,-6.55,1066.8,515.5,60139,549954,3164.7,0.1094,62347,0.384,0.615,312982.0,2775.2,False,none,156491.0,1734.5,"(16, 16)",500,0.2,2,1.6
IMG_3348.jpg,1,5,443.2,1263.8,1670.2,277.8,-80.22,1670.2,277.8,248480,464021,3896.0,0.5355,243940,1.688,1.0,294360.0,2672.2,False,none,147180.0,1670.2,"(16, 16)",500,0.2,2,1.6
IMG_3348.jpg,2,5,1784.3,1016.9,2004.7,733.7,-62.68,2004.7,733.7,164981,1470770,5476.7,0.1122,168457,1.121,1.2,294360.0,2672.2,False,none,147180.0,1670.2,"(16, 16)",500,0.2,2,1.6
IMG_3348.jpg,3,5,3104.4,1217.6,464.7,994.0,-17.94,994.0,464.7,147180,461968,2917.6,0.3186,57458,1.0,0.595,294360.0,2672.2,False,none,147180.0,1670.2,"(16, 16)",500,0.2,2,1.6
IMG_3348.jpg,4,5,2662.3,1234.4,133.3,1326.4,-1.85,1326.4,133.3,132365,176795,2919.4,0.7487,133727,0.899,0.794,294360.0,2672.2,False,none,147180.0,1670.2,"(16, 16)",500,0.2,2,1.6
IMG_3348.jpg,5,5,942.5,1129.4,202.8,1891.6,-0.56,1891.6,202.8,108044,383703,4188.9,0.2816,109284,0.734,1.133,294360.0,2672.2,False,none,147180.0,1670.2,"(16, 16)",500,0.2,2,1.6
IMG_3349.jpg,1,6,388.3,1414.2,297.4,1670.6,-8.97,1670.6,297.4,262731,496876,3936.1,0.5288,255168,1.874,0.943,280346.0,2833.7,False,none,140173.0,1771.1,"(16, 16)",500,0.2,2,1.6
IMG_3349.jpg,2,6,1590.0,1214.6,340.0,1898.8,-0.84,1898.8,340.0,182253,645608,4477.6,0.2823,190123,1.3,1.072,280346.0,2833.7,False,none,140173.0,1771.1,"(16, 16)",500,0.2,2,1.6
IMG_3349.jpg,3,6,3163.9,1235.2,456.4,997.7,-22.16,997.7,456.4,145414,455375,2908.2,0.3193,57703,1.037,0.563,280346.0,2833.7,False,none,140173.0,1771.1,"(16, 16)",500,0.2,2,1.6
